Modelo;Acurácia;Recall (Weighted);F1-Score (Macro);Tempo Total (s)
SVM (Linear);0.8575333170052453;0.8575333170052453;0.8566948221690449;5.02
Random Forest;0.8087178237812264;0.8087178237812264;0.807121107557316;163.55
XGBoost;0.692177588136169;0.692177588136169;0.6874348910222076;36.76
Complement Naive Bayes;0.8218859155351957;0.8218859155351957;0.8209067495875416;2.88
KNN (5 Vizinhos);0.672027529270742;0.672027529270742;0.6651232436809609;129.07
