Modelo;Acurácia;Recall (Weighted);F1-Score (Macro);Tempo Total (s)
SVM (Linear);0.8581097221542556;0.8581097221542556;0.8572882111581708;4.3
Random Forest;0.8127620762689804;0.8127620762689804;0.8111493606147775;193.29
XGBoost;0.6940580304079992;0.6940580304079992;0.6896900997013932;41.5
Complement Naive Bayes;0.8223809516560623;0.8223809516560623;0.8214188915452239;3.02
KNN (5 Vizinhos);0.6749971389117494;0.6749971389117494;0.6684422801283272;161.29
