Modelo;Acurácia;Recall (Weighted);F1-Score (Macro);Tempo Total (s)
SVM (Linear);0.8572552181402605;0.8572552181402605;0.8564004384842999;2.66
Complement Naive Bayes;0.8211726208410901;0.8211726208410901;0.8202169906659409;1.18
Regressão Logística;0.8585599322532496;0.8585599322532496;0.8578572171001646;3.41
