Modelo;Acurácia;Recall (Weighted);F1-Score (Macro);Tempo Total (s)
SVM (Linear);0.8552332796380115;0.8552332796380115;0.8543862992900392;3.61
Random Forest;0.8010784221390612;0.8010784221390612;0.7994769938745998;107.89
XGBoost;0.6894366996364092;0.6894366996364092;0.6848562919796058;25.99
Complement Naive Bayes;0.8192366877719965;0.8192366877719965;0.8182613557370828;0.82
KNN (5 Vizinhos);0.6683677681141489;0.6683677681141489;0.6607871593699675;68.04
