Modelo;Acurácia;Recall (Weighted);F1-Score (Macro);Tempo Total (s)
SVM (Linear);0.8535283726080198;0.8535283726080198;0.8526467908357789;3.12
Random Forest;0.7931492972720866;0.7931492972720866;0.7913577255804348;81.53
XGBoost;0.6871862996125511;0.6871862996125511;0.682850045754385;21.66
Complement Naive Bayes;0.8185444732285914;0.8185444732285914;0.817543574882928;0.68
KNN (5 Vizinhos);0.66816801213608;0.66816801213608;0.6606571058482753;45.98
