Modelo;Acurácia;Recall (Weighted);F1-Score (Macro);Tempo Total (s)
SVM (Linear);0.8559747783597157;0.8559747783597157;0.8241695569033596;19.62
Random Forest;0.8233943880387395;0.8233943880387395;0.7670975456897576;1435.58
XGBoost;0.7180311320478684;0.7180311320478684;0.6246349414681759;104.15
Complement Naive Bayes;0.8287693478070046;0.8287693478070046;0.7649921111492279;5.57
KNN (5 Vizinhos);0.7293062585949616;0.7293062585949616;0.6466677051946882;2422.51
