Modelo;Acurácia;Recall (Weighted);F1-Score (Macro);Tempo Total (s)
SVM (Linear);0.854325594008779;0.854325594008779;0.8219598099746944;11.84
Random Forest;0.8165879781204491;0.8165879781204491;0.7556482925447245;610.7
XGBoost;0.7153831977339855;0.7153831977339855;0.6187600690655968;72.23
Complement Naive Bayes;0.8276527158864712;0.8276527158864712;0.7638742988526349;4.15
KNN (5 Vizinhos);0.7252775530210991;0.7252775530210991;0.6444683964408884;873.06
