Modelo;Acurácia;Recall (Weighted);F1-Score (Macro);Tempo Total (s)
SVM (Linear);0.8562191886725661;0.8562191886725661;0.8245296977614853;21.43
Random Forest;0.8261274937113793;0.8261274937113793;0.7705864961837576;1799.51
XGBoost;0.7186400731228068;0.7186400731228068;0.6246528520311022;113.54
Complement Naive Bayes;0.82882976638553;0.82882976638553;0.7652070856639059;6.31
KNN (5 Vizinhos);0.729840586055593;0.729840586055593;0.6478080671836264;3347.54
