Modelo;Acurácia;Recall (Weighted);F1-Score (Macro);Tempo Total (s)
SVM (Linear);0.8553514651676377;0.8553514651676377;0.8234187732896174;16.54
Random Forest;0.820544461122404;0.820544461122404;0.7616170327373561;1134.44
XGBoost;0.7166083174442226;0.7166083174442226;0.621249800116587;105.02
Complement Naive Bayes;0.8284628953713415;0.8284628953713415;0.7648234233803659;5.06
KNN (5 Vizinhos);0.7306829270712476;0.7306829270712476;0.6495435584947769;1841.19
