Modelo;Acurácia;Recall (Weighted);F1-Score (Macro);Tempo Total (s)
SVM (Linear);0.8546020228028597;0.8546020228028597;0.822455292328242;13.76
Random Forest;0.819241010035989;0.819241010035989;0.7603823679308821;837.02
XGBoost;0.7155982093220586;0.7155982093220586;0.6202385253959014;83.15
Complement Naive Bayes;0.8280344481181302;0.8280344481181302;0.7646722576809475;4.62
KNN (5 Vizinhos);0.726387141449903;0.726387141449903;0.6456910918012702;1305.29
