Modelo;Acurácia;Recall (Weighted);F1-Score (Macro);Tempo Total (s)
SVM (Linear);0.8556097743971158;0.8556097743971158;0.8238592160541239;17.41
Random Forest;0.8220464758033682;0.8220464758033682;0.7641656981010727;1270.77
XGBoost;0.7180670353272312;0.7180670353272312;0.6238183801583249;98.62
Complement Naive Bayes;0.828547530896862;0.828547530896862;0.7649749443553518;5.48
KNN (5 Vizinhos);0.7284428167558892;0.7284428167558892;0.6470213111206146;2035.22
