Modelo;Acurácia;Precisão (Macro);Recall/Cobertura (Macro);F1-Score (Macro);Tempo Total (s)
SVM (Linear);0.8561223880152908;0.8559176699751008;0.8561218889644548;0.8552635389494171;7.64
XGBoost;0.6907209755450741;0.6894776177623595;0.6907200201274157;0.6862369721444875;78.57
Complement Naive Bayes;0.820204819171274;0.8216782367861064;0.8202042657033592;0.8192477463630498;3.11
KNN (Vizinhos);0.670949572467255;0.7141162443188512;0.6709478088822058;0.6635704858685609;202.17
Regressão Logística;0.8573798368182434;0.8570131414309203;0.8573793625974814;0.8566775388906673;12.97
Random Forest;0.8062390965879105;0.8056918759287278;0.8062384379688929;0.8045397637858468;519.84
