Modelo;Acurácia;Precisão (Macro);Recall/Cobertura (Macro);F1-Score (Macro);Tempo Total (s)
SVM (Linear);0.8535283726080198;0.8532866210093699;0.8535276976787864;0.8526467908357789;3.15
XGBoost;0.6871862996125511;0.68619368401621;0.6871849031946476;0.682850045754385;40.72
Complement Naive Bayes;0.8185444732285914;0.82002459017426;0.8185437766634944;0.817543574882928;1.25
KNN (Vizinhos);0.6681492829138931;0.7135389955994578;0.6681470472802381;0.660637006259283;79.47
Regressão Logística;0.8536969163173049;0.8533238813454865;0.8536962935605672;0.8529688829528095;4.18
Random Forest;0.794095081342805;0.7933314702248587;0.794094143540549;0.7923592857902676;207.47
