Modelo;Acurácia;Precisão (Macro);Recall/Cobertura (Macro);F1-Score (Macro);Tempo Total (s)
SVM (Linear);0.8575333170052453;0.8573203505991375;0.8575333231940784;0.8566948221690449;6.6
XGBoost;0.692177588136169;0.6915374294960139;0.6921776289193748;0.6874348910222076;102.77
Complement Naive Bayes;0.8218859155351957;0.8234097096808546;0.8218859283661424;0.8209067495875416;3.37
KNN (Vizinhos);0.6720158244659196;0.7131239639775149;0.6720157623084063;0.6651108266139689;237.88
Regressão Logística;0.8592832065621933;0.8589293543433453;0.8592832031628888;0.858597801983561;9.74
Random Forest;0.8105262395886411;0.8100784568674323;0.8105262693632236;0.8089674035511385;478.35
