Modelo;Acurácia;Precisão (Macro);Recall/Cobertura (Macro);F1-Score (Macro);Tempo Total (s)
SVM (Linear);0.8572552181402605;0.8570760101461499;0.8572552037502519;0.8564004384842999;4.04
XGBoost;0.6924613573648982;0.6918182971364162;0.6924614014296906;0.6878633992673728;63.95
Complement Naive Bayes;0.8211726208410901;0.8226743396971253;0.8211726001735589;0.8202169906659409;1.96
KNN (Vizinhos);0.6704622113504782;0.7120064201075167;0.6704622002485656;0.6632914647245493;182.23
Regressão Logística;0.8583851398192648;0.8580313892106108;0.85838511744204;0.8576796541930133;7.25
Random Forest;0.8090868242633722;0.8086983337649567;0.8090867850714278;0.8074576420140136;541.05
