Modelo;Acurácia;Precisão (Macro);Recall/Cobertura (Macro);F1-Score (Macro);Tempo Total (s)
SVM (Linear);0.8552332796380115;0.8550036062672703;0.8552333577453443;0.8543862992900392;2.79
XGBoost;0.6894366996364092;0.6886133322652446;0.6894367754122751;0.6848562919796058;53.26
Complement Naive Bayes;0.8192366877719965;0.8207335083150525;0.8192367222334017;0.8182613557370828;1.51
KNN (Vizinhos);0.6683833748250345;0.7137875139121648;0.6683834225274126;0.6608033094962961;147.16
Regressão Logística;0.8556156449680603;0.8552503141922886;0.8556157352545535;0.854918888129572;12.12
Random Forest;0.8022333105244541;0.8016882259995327;0.8022333199692003;0.8006869340213564;377.78
