Modelo;Acurácia;Precisão (Macro);Recall/Cobertura (Macro);F1-Score (Macro);Tempo Total (s)
SVM (Linear);0.8581097221542556;0.8578794689868461;0.8581093590905763;0.8572882111581708;11.23
XGBoost;0.6940580304079992;0.6928513042799249;0.6940572780253061;0.6896900997013932;95.2
Complement Naive Bayes;0.8223809516560623;0.8238359853710981;0.8223805393310384;0.8214188915452239;2.67
KNN (Vizinhos);0.6749815323361765;0.7145014388660199;0.6749802448136344;0.6684225296071513;299.4
Regressão Logística;0.8602114222334144;0.8598482159939456;0.860211080277628;0.8595389131997372;16.53
Random Forest;0.814197878109488;0.8137624484745632;0.8141973877106731;0.8126244806454999;581.07
